GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JMXTrans - additional writers,org.jmxtrans.writers.additional,LibratoWriter.new ThreadLocal() {...},0,11,0,0,0,2,0,2,0,2
JMXTrans - additional writers,org.jmxtrans.writers.additional,LibratoWriter.Factory,47,87,7,3,7,17,5,5,0,5
JMXTrans - additional writers,org.jmxtrans.writers.additional,LibratoWriter,36,219,9,19,0,49,7,13,0,6
JMXTrans - additional writers,org.jmxtrans.writers.additional,LibratoWriter.ResultsClassifier,0,96,0,6,0,19,0,8,0,5
