GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JMXTrans - log - slf4j,org.jmxtrans.log.slf4j,Slf4JLogProvider,0,9,0,0,0,2,0,2,0,2
JMXTrans - log - slf4j,org.jmxtrans.log.slf4j,Slf4JLogger,0,70,0,0,0,24,0,14,0,14
