GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JMXTrans - standalone,org.jmxtrans.standalone.cli,ExistingFileValidator,17,27,1,3,1,5,1,3,0,2
JMXTrans - standalone,org.jmxtrans.standalone.cli,CollectionValidator,0,19,0,2,0,5,0,3,0,2
JMXTrans - standalone,org.jmxtrans.standalone.cli,JmxTransParameters.new SimpleFileVisitor() {...},0,20,0,0,0,3,0,2,0,2
JMXTrans - standalone,org.jmxtrans.standalone.cli,ExistingFileCollectionValidator,0,11,0,0,0,3,0,2,0,2
JMXTrans - standalone,org.jmxtrans.standalone.cli,ExistingDirectoryValidator,17,27,1,3,1,5,1,3,0,2
JMXTrans - standalone,org.jmxtrans.standalone.cli,JmxTransParameters,6,63,2,6,1,14,4,5,2,3
JMXTrans - standalone,org.jmxtrans.standalone.cli,ExistingDirectoryCollectionValidator,0,11,0,0,0,3,0,2,0,2
JMXTrans - standalone,org.jmxtrans.standalone,JmxTransformer.new Runnable() {...},24,0,0,0,9,0,2,0,2,0
JMXTrans - standalone,org.jmxtrans.standalone,JmxTransformer,66,0,4,0,15,0,5,0,3,0
